Times,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C_02B,Madiwela,C_01A,C_23,C_22,C_21,C_24,C_09D2,C_26,C_25,C_30,C_29,C_27A,C_28,C_06,C_07,C_04,C_03,C_05,C_20,C_17,C_19,C_10,C_18,C_16,C_14,C_13,C_15,C_08,C_11,C_31,C_32,C_33,C_12,C_01C,C_01B,C_01D,C_02A,C_09A,C_09B,C_09C,C_09D,C_19A,C_25A,C_25B,C_27B,C_28A,C_29C,C_02D,C_02C,C_02E
2019-05-20 10:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6e-05,0.022013,0,0,0,0,0,0.002491,0.002491,0.002491,0.002491,0.002491,0.002491,0.002491,0.002491,0.002491,0.002491,0.002491,0.002491,0.002491,0.002491,0.002491,0.002491,0.022013,0.016409,0.187759,0.001338,0.000152,0.000152,0.000152,0.002495,1e-06,1e-06,0,0,1e-06,0,6e-05,6e-05,0.022013,0.029894,0.002495,0.000152,6e-05,0.000152,6e-05,1e-06,1e-06,6e-05,1e-06,1e-06,6e-05,6e-05,0,0,0,6e-05,0.108697,0.108697,0.108697,0.010917,0.002495,0.002495,0.002495,0.000152,0.000152,0.000152,0.000152,1e-06,0,0,0.010917,0.010917,0.010917
2019-05-20 11:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017398,0,0,0,0,0,0.002487,0.002487,0.002487,0.002487,0.002487,0.002487,0.002487,0.002487,0.002487,0.002487,0.002487,0.002487,0.002487,0.002487,0.002487,0.002487,0.017398,0.01601,0.028436,7e-06,0,0,0,0,0,0,0,0,0,0,0,0,0.017398,0.004114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007025,0,0,0,0,0,0,0,0,0,0,0.007025,0.007025,0.007025
2019-05-20 12:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-20 13:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-20 14:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-20 15:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-20 16:00:00,0.112822,0.112822,0.112822,0.112822,0.112822,0.112822,3e-06,0.112822,3e-06,3e-06,3e-06,3e-06,0.112822,3e-06,3e-06,3e-06,3e-06,3e-06,3e-06,3e-06,3e-06,3e-06,3e-06,3e-06,3e-06,3e-06,3e-06,3e-06,3e-06,3e-06,3e-06,3e-06,3e-06,3e-06,3e-06,3e-06,3e-06,3e-06,3e-06,3e-06,0,0,3e-06,3e-06,3e-06,3e-06,3e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112822,0.112822,0,0.112822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112822,0.112822,0.112822,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112822,0.112822,0,0,0
2019-05-20 17:00:00,0.343699,0.343699,0.343699,0.343699,0.343699,0.343699,3.3e-05,0.343699,3.3e-05,3.3e-05,3.3e-05,3.3e-05,0.343699,3.3e-05,3.3e-05,3.3e-05,3.3e-05,3.3e-05,3.3e-05,3.3e-05,3.3e-05,3.3e-05,3.3e-05,3.3e-05,3.3e-05,3.3e-05,3.3e-05,3.3e-05,3.3e-05,3.3e-05,3.3e-05,3.3e-05,3.3e-05,3.3e-05,3.3e-05,3.3e-05,3.3e-05,3.3e-05,3.3e-05,3.3e-05,0.000225,2e-06,3.3e-05,3.3e-05,3.3e-05,3.3e-05,3.3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0.003238,0.005623,0.005623,0.005623,0.002378,0.000677,0.000677,0.343699,0.343699,0.000677,0.343699,0.000225,0.000225,2e-06,5.5e-05,0.002378,0.005623,0.000225,0.005623,0.000225,0.000677,0.000677,0.000225,0.000677,0.000677,0.000225,0.000225,0.343699,0.343699,0.343699,0.000225,1e-06,1e-06,1e-06,0,0.002378,0.002378,0.002378,0.005623,0.005623,0.005623,0.005623,0.000677,0.343699,0.343699,0,0,0
2019-05-20 18:00:00,0.48758,0.48758,0.48758,0.48758,0.48758,0.48758,0.000233,0.48758,0.000233,0.000233,0.000233,0.000233,0.48758,0.000233,0.000233,0.000233,0.000233,0.000233,0.000233,0.000233,0.000233,0.000233,0.000233,0.000233,0.000233,0.000233,0.000233,0.000233,0.000233,0.000233,0.000233,0.000233,0.000233,0.000233,0.000233,0.000233,0.000233,0.000233,0.000233,0.000233,0.003655,0.00259,0.000233,0.000233,0.000233,0.000233,0.000233,5.9e-05,5.9e-05,5.9e-05,5.9e-05,5.9e-05,5.9e-05,5.9e-05,5.9e-05,5.9e-05,5.9e-05,5.9e-05,5.9e-05,5.9e-05,5.9e-05,5.9e-05,5.9e-05,0.00259,0.000316,0,0.003238,0.005622,0.005622,0.005622,0.00436,0.000677,0.000677,0.48758,0.48758,0.000677,0.48758,0.003655,0.003655,0.00259,0.00052,0.00436,0.005622,0.003655,0.005622,0.003655,0.000677,0.000677,0.003655,0.000677,0.000677,0.003655,0.003655,0.48758,0.48758,0.48758,0.003655,1e-06,1e-06,1e-06,1e-06,0.00436,0.00436,0.00436,0.005622,0.005622,0.005622,0.005622,0.000677,0.48758,0.48758,1e-06,1e-06,1e-06
2019-05-20 19:00:00,0.256703,0.256703,0.256703,0.256703,0.256703,0.256703,0.000203,0.256703,0.000203,0.000203,0.000203,0.000203,0.256703,0.000203,0.000203,0.000203,0.000203,0.000203,0.000203,0.000203,0.000203,0.000203,0.000203,0.000203,0.000203,0.000203,0.000203,0.000203,0.000203,0.000203,0.000203,0.000203,0.000203,0.000203,0.000203,0.000203,0.000203,0.000203,0.000203,0.000203,0.003431,0.002589,0.000203,0.000203,0.000203,0.000203,0.000203,5.9e-05,5.9e-05,5.9e-05,5.9e-05,5.9e-05,5.9e-05,5.9e-05,5.9e-05,5.9e-05,5.9e-05,5.9e-05,5.9e-05,5.9e-05,5.9e-05,5.9e-05,5.9e-05,0.002589,0.000316,0,0,0,0,0,0.001982,0,0,0.256703,0.256703,0,0.256703,0.003431,0.003431,0.002589,0.000465,0.001982,0,0.003431,0,0.003431,0,0,0.003431,0,0,0.003431,0.003431,0.256703,0.256703,0.256703,0.003431,0,0,0,1e-06,0.001982,0.001982,0.001982,0,0,0,0,0,0.256703,0.256703,1e-06,1e-06,1e-06
